workload,share_rate,acl_mix,policy,kv_gib,num_blocks,concurrency,requests,prompt_tokens,cached_tokens,cached_pct,recomputed_tokens,evictions,stalls,max_table_size,unauthorized_hits,probe_requests,probe_unauthorized_hits,probe_cached_tokens,mean_prompt_tokens,wall_s
w_share0.00_mix-default_u20_s0,0.0,0.50/0.30/0.20,B5,1,1170,16,400,620848,35808,5.77,585040,36404,388,1161,0,86,0,6096,1552.1,0.38
w_share0.00_mix-default_u20_s0,0.0,0.50/0.30/0.20,B5,2,2340,4,400,620848,48880,7.87,571968,34410,0,2336,0,86,0,6288,1552.1,0.54
w_share0.00_mix-default_u20_s0,0.0,0.50/0.30/0.20,B5,2,2340,16,400,620848,48880,7.87,571968,34422,0,2324,0,86,0,6288,1552.1,0.69
w_share0.00_mix-default_u20_s0,0.0,0.50/0.30/0.20,B5,4,4681,4,400,620848,72384,11.66,548464,30600,0,4677,0,86,0,7328,1552.1,0.84
w_share0.00_mix-default_u20_s0,0.0,0.50/0.30/0.20,B5,4,4681,16,400,620848,72336,11.65,548512,30615,0,4665,0,86,0,7328,1552.1,0.99
w_share0.00_mix-default_u20_s0,0.0,0.50/0.30/0.20,UB,1,1170,4,400,620848,44720,7.2,576128,35840,0,1166,0,86,5888,130480,1552.1,0.2
w_share0.00_mix-default_u20_s0,0.0,0.50/0.30/0.20,UB,1,1170,16,400,620848,44432,7.16,576416,35865,388,1161,0,86,5888,130480,1552.1,0.36
w_share0.00_mix-default_u20_s0,0.0,0.50/0.30/0.20,UB,2,2340,4,400,620848,63056,10.16,557792,33524,0,2336,0,86,5888,130480,1552.1,0.51
w_share0.00_mix-default_u20_s0,0.0,0.50/0.30/0.20,UB,2,2340,16,400,620848,63056,10.16,557792,33536,0,2324,0,86,5888,130480,1552.1,0.66
w_share0.00_mix-default_u20_s0,0.0,0.50/0.30/0.20,UB,4,4681,4,400,620848,87904,14.16,532944,29630,0,4677,0,86,5888,130480,1552.1,0.82
w_share0.00_mix-default_u20_s0,0.0,0.50/0.30/0.20,UB,4,4681,16,400,620848,87600,14.11,533248,29661,0,4665,0,86,5888,130480,1552.1,0.98
w_share0.00_mix-default_u20_s0,0.0,0.50/0.30/0.20,UB-order,1,1170,4,400,620848,42816,6.9,578032,35959,0,1166,0,86,1771,130480,1552.1,0.21
w_share0.00_mix-default_u20_s0,0.0,0.50/0.30/0.20,UB-order,1,1170,16,400,620848,42528,6.85,578320,35984,388,1161,0,86,1771,130480,1552.1,0.36
